Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
43,No,Travel_Rarely,1205,Sales,3,3,Life Sciences,1,1,3,Male,88,4,3,Sales Executive,3,Married,6850,20145,5,Y,No,12,4,3,80,1,15,2,3,8,6,2,4
38,Yes,Travel_Frequently,445,Research & Development,12,2,Medical,1,2,2,Female,75,3,2,Research Scientist,2,Single,4680,18925,3,Y,Yes,18,3,4,80,0,12,3,2,7,5,1,3
29,No,Non-Travel,892,Research & Development,8,4,Life Sciences,1,3,4,Male,65,3,1,Laboratory Technician,4,Divorced,3250,14789,2,Y,No,15,3,3,80,2,8,4,3,4,3,0,2
52,No,Travel_Rarely,756,Sales,5,3,Marketing,1,4,3,Female,92,2,4,Manager,3,Married,16500,22368,1,Y,Yes,14,4,4,80,0,25,1,4,20,15,8,12
31,Yes,Travel_Frequently,623,Research & Development,15,1,Technical Degree,1,5,1,Male,58,2,1,Laboratory Technician,1,Single,2840,16895,4,Y,Yes,13,3,2,80,0,6,2,2,3,2,1,1
26,No,Travel_Rarely,1134,Human Resources,7,2,Human Resources,1,6,3,Female,71,3,2,Human Resources,3,Married,4125,11256,1,Y,No,16,3,3,80,1,5,3,3,3,2,0,2
47,No,Non-Travel,389,Research & Development,18,4,Medical,1,7,2,Male,83,4,3,Healthcare Representative,2,Divorced,11850,19547,6,Y,No,11,4,2,80,3,22,4,4,18,12,5,8
33,Yes,Travel_Rarely,978,Sales,9,3,Life Sciences,1,8,4,Female,46,2,2,Sales Representative,4,Single,3680,7894,7,Y,Yes,19,3,3,80,0,9,3,3,6,4,2,3
25,No,Travel_Frequently,1287,Research & Development,22,2,Life Sciences,1,9,3,Male,39,3,1,Research Scientist,2,Married,2950,21456,0,Y,No,20,4,4,80,1,3,5,3,2,1,0,1
55,No,Travel_Rarely,467,Sales,6,5,Marketing,1,10,4,Female,95,3,5,Manager,4,Single,18750,13268,3,Y,Yes,13,4,3,80,1,32,2,4,28,18,12,15
39,No,Travel_Frequently,825,Research & Development,11,3,Medical,1,11,2,Male,72,2,2,Manufacturing Director,3,Married,7250,16874,2,Y,No,17,3,3,80,2,14,3,3,11,8,3,6
